,Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy,fold,label
226,5-FU_DINACICLIB_SW620,5-FU,DINACICLIB,SW620,-4.5680713977,0,0
227,5-FU_DINACICLIB_SW837,5-FU,DINACICLIB,SW837,-19.5733229304,0,0
228,5-FU_DINACICLIB_T47D,5-FU,DINACICLIB,T47D,-2.721986339,0,0
229,5-FU_DINACICLIB_UACC62,5-FU,DINACICLIB,UACC62,3.6825732484,0,0
230,5-FU_DINACICLIB_UWB1289BRCA1,5-FU,DINACICLIB,UWB1289BRCA1,3.0417152864,0,0
231,5-FU_DINACICLIB_UWB1289,5-FU,DINACICLIB,UWB1289,-0.2331905921,0,0
232,5-FU_DINACICLIB_VCAP,5-FU,DINACICLIB,VCAP,14.4219939992,0,0
233,5-FU_DINACICLIB_ZR751,5-FU,DINACICLIB,ZR751,-13.5823901433,0,0
507,5-FU_MK-8669_A2058,5-FU,MK-8669,A2058,32.336231656,0,1
508,5-FU_MK-8669_A2780,5-FU,MK-8669,A2780,16.2953130836,0,0
509,5-FU_MK-8669_A375,5-FU,MK-8669,A375,12.7627595038,0,0
510,5-FU_MK-8669_A427,5-FU,MK-8669,A427,20.6278648172,0,0
511,5-FU_MK-8669_CAOV3,5-FU,MK-8669,CAOV3,8.763442761,0,0
512,5-FU_MK-8669_COLO320DM,5-FU,MK-8669,COLO320DM,9.3980636548,0,0
513,5-FU_MK-8669_DLD1,5-FU,MK-8669,DLD1,24.5517899509,0,0
514,5-FU_MK-8669_EFM192B,5-FU,MK-8669,EFM192B,20.5172869611,0,0
515,5-FU_MK-8669_ES2,5-FU,MK-8669,ES2,15.7050804162,0,0
516,5-FU_MK-8669_HCT116,5-FU,MK-8669,HCT116,2.5493305703,0,0
517,5-FU_MK-8669_HT144,5-FU,MK-8669,HT144,4.9157412874,0,0
518,5-FU_MK-8669_HT29,5-FU,MK-8669,HT29,11.8105759879,0,0
519,5-FU_MK-8669_KPL1,5-FU,MK-8669,KPL1,11.1882098652,0,0
520,5-FU_MK-8669_LNCAP,5-FU,MK-8669,LNCAP,15.9940932912,0,0
521,5-FU_MK-8669_LOVO,5-FU,MK-8669,LOVO,6.8775912152,0,0
522,5-FU_MK-8669_MDAMB436,5-FU,MK-8669,MDAMB436,17.4363297943,0,0
523,5-FU_MK-8669_MSTO,5-FU,MK-8669,MSTO,-34.4302498796,0,0
524,5-FU_MK-8669_NCIH1650,5-FU,MK-8669,NCIH1650,15.8598946229,0,0
525,5-FU_MK-8669_NCIH2122,5-FU,MK-8669,NCIH2122,10.3041819135,0,0
526,5-FU_MK-8669_NCIH23,5-FU,MK-8669,NCIH23,21.7378102867,0,0
527,5-FU_MK-8669_NCIH460,5-FU,MK-8669,NCIH460,5.0187908405,0,0
528,5-FU_MK-8669_NCIH520,5-FU,MK-8669,NCIH520,8.1541053655,0,0
529,5-FU_MK-8669_OCUBM,5-FU,MK-8669,OCUBM,23.6582792303,0,0
530,5-FU_MK-8669_OV90,5-FU,MK-8669,OV90,9.5625919221,0,0
531,5-FU_MK-8669_OVCAR3,5-FU,MK-8669,OVCAR3,6.7256438694,0,0
532,5-FU_MK-8669_PA1,5-FU,MK-8669,PA1,41.3012141448,0,1
533,5-FU_MK-8669_RKO,5-FU,MK-8669,RKO,23.2541342238,0,0
534,5-FU_MK-8669_RPMI7951,5-FU,MK-8669,RPMI7951,27.3312274488,0,0
535,5-FU_MK-8669_SKMEL30,5-FU,MK-8669,SKMEL30,28.1921047119,0,0
536,5-FU_MK-8669_SKMES1,5-FU,MK-8669,SKMES1,8.5169054379,0,0
537,5-FU_MK-8669_SKOV3,5-FU,MK-8669,SKOV3,28.7151483289,0,0
538,5-FU_MK-8669_SW620,5-FU,MK-8669,SW620,12.1373778076,0,0
539,5-FU_MK-8669_SW837,5-FU,MK-8669,SW837,12.4165920546,0,0
540,5-FU_MK-8669_T47D,5-FU,MK-8669,T47D,24.178581994,0,0
541,5-FU_MK-8669_UACC62,5-FU,MK-8669,UACC62,12.1256517911,0,0
542,5-FU_MK-8669_UWB1289BRCA1,5-FU,MK-8669,UWB1289BRCA1,28.3950480532,0,0
543,5-FU_MK-8669_UWB1289,5-FU,MK-8669,UWB1289,25.2379678222,0,0
544,5-FU_MK-8669_VCAP,5-FU,MK-8669,VCAP,29.6719018896,0,0
545,5-FU_MK-8669_ZR751,5-FU,MK-8669,ZR751,10.3250317023,0,0
600,5-FU_PD325901_A2058,5-FU,PD325901,A2058,2.2648345474,0,0
601,5-FU_PD325901_A2780,5-FU,PD325901,A2780,24.6101491603,0,0
602,5-FU_PD325901_A375,5-FU,PD325901,A375,-1.7928723117,0,0
603,5-FU_PD325901_A427,5-FU,PD325901,A427,16.5185276264,0,0
604,5-FU_PD325901_CAOV3,5-FU,PD325901,CAOV3,-1.1278026191,0,0
605,5-FU_PD325901_COLO320DM,5-FU,PD325901,COLO320DM,3.6824831827,0,0
606,5-FU_PD325901_DLD1,5-FU,PD325901,DLD1,18.4586259032,0,0
607,5-FU_PD325901_EFM192B,5-FU,PD325901,EFM192B,-3.0348942445,0,0
608,5-FU_PD325901_ES2,5-FU,PD325901,ES2,2.8147383704,0,0
609,5-FU_PD325901_HCT116,5-FU,PD325901,HCT116,18.3212116826,0,0
610,5-FU_PD325901_HT144,5-FU,PD325901,HT144,9.118873978,0,0
611,5-FU_PD325901_HT29,5-FU,PD325901,HT29,3.1505895344,0,0
612,5-FU_PD325901_KPL1,5-FU,PD325901,KPL1,-6.3450322174,0,0
613,5-FU_PD325901_LNCAP,5-FU,PD325901,LNCAP,1.6456703382,0,0
614,5-FU_PD325901_LOVO,5-FU,PD325901,LOVO,-6.2451950857,0,0
615,5-FU_PD325901_MDAMB436,5-FU,PD325901,MDAMB436,9.3580687088,0,0
616,5-FU_PD325901_MSTO,5-FU,PD325901,MSTO,22.0330269023,0,0
617,5-FU_PD325901_NCIH1650,5-FU,PD325901,NCIH1650,4.3253730787,0,0
618,5-FU_PD325901_NCIH2122,5-FU,PD325901,NCIH2122,3.0974502827,0,0
619,5-FU_PD325901_NCIH23,5-FU,PD325901,NCIH23,4.2627084216,0,0
620,5-FU_PD325901_NCIH460,5-FU,PD325901,NCIH460,16.3321845736,0,0
621,5-FU_PD325901_NCIH520,5-FU,PD325901,NCIH520,-1.1429154638,0,0
622,5-FU_PD325901_OCUBM,5-FU,PD325901,OCUBM,16.9153205509,0,0
623,5-FU_PD325901_OV90,5-FU,PD325901,OV90,-6.5669900061,0,0
624,5-FU_PD325901_OVCAR3,5-FU,PD325901,OVCAR3,24.6866031908,0,0
625,5-FU_PD325901_PA1,5-FU,PD325901,PA1,8.0642596305,0,0
626,5-FU_PD325901_RKO,5-FU,PD325901,RKO,9.445147693,0,0
627,5-FU_PD325901_RPMI7951,5-FU,PD325901,RPMI7951,0.6327841094,0,0
628,5-FU_PD325901_SKMEL30,5-FU,PD325901,SKMEL30,-144.401654641,0,0
629,5-FU_PD325901_SKMES1,5-FU,PD325901,SKMES1,-5.4245533988,0,0
630,5-FU_PD325901_SKOV3,5-FU,PD325901,SKOV3,2.8529330664,0,0
631,5-FU_PD325901_SW620,5-FU,PD325901,SW620,2.3472546751,0,0
632,5-FU_PD325901_SW837,5-FU,PD325901,SW837,0.9460961282,0,0
633,5-FU_PD325901_T47D,5-FU,PD325901,T47D,46.9965795657,0,1
634,5-FU_PD325901_UACC62,5-FU,PD325901,UACC62,-3.4432324072,0,0
635,5-FU_PD325901_UWB1289BRCA1,5-FU,PD325901,UWB1289BRCA1,18.9437175872,0,0
636,5-FU_PD325901_UWB1289,5-FU,PD325901,UWB1289,19.8082797454,0,0
637,5-FU_PD325901_VCAP,5-FU,PD325901,VCAP,11.4350299448,0,0
638,5-FU_PD325901_ZR751,5-FU,PD325901,ZR751,-7.0184742351,0,0
717,5-FU_TEMOZOLOMIDE_A2058,5-FU,TEMOZOLOMIDE,A2058,2.774368984,0,0
718,5-FU_TEMOZOLOMIDE_A2780,5-FU,TEMOZOLOMIDE,A2780,-0.6043528353,0,0
719,5-FU_TEMOZOLOMIDE_A375,5-FU,TEMOZOLOMIDE,A375,-15.9833359407,0,0
720,5-FU_TEMOZOLOMIDE_A427,5-FU,TEMOZOLOMIDE,A427,18.3610194111,0,0
721,5-FU_TEMOZOLOMIDE_CAOV3,5-FU,TEMOZOLOMIDE,CAOV3,-35.6606340737,0,0
722,5-FU_TEMOZOLOMIDE_COLO320DM,5-FU,TEMOZOLOMIDE,COLO320DM,8.6226783013,0,0
723,5-FU_TEMOZOLOMIDE_DLD1,5-FU,TEMOZOLOMIDE,DLD1,-4.7534220534,0,0
724,5-FU_TEMOZOLOMIDE_EFM192B,5-FU,TEMOZOLOMIDE,EFM192B,-39.7171613043,0,0
725,5-FU_TEMOZOLOMIDE_ES2,5-FU,TEMOZOLOMIDE,ES2,3.4256071333,0,0
726,5-FU_TEMOZOLOMIDE_HCT116,5-FU,TEMOZOLOMIDE,HCT116,-15.6630918406,0,0
727,5-FU_TEMOZOLOMIDE_HT144,5-FU,TEMOZOLOMIDE,HT144,-24.2865179978,0,0
728,5-FU_TEMOZOLOMIDE_HT29,5-FU,TEMOZOLOMIDE,HT29,-13.1781205798,0,0
729,5-FU_TEMOZOLOMIDE_KPL1,5-FU,TEMOZOLOMIDE,KPL1,-32.0355147382,0,0
730,5-FU_TEMOZOLOMIDE_LNCAP,5-FU,TEMOZOLOMIDE,LNCAP,-16.1460863333,0,0
731,5-FU_TEMOZOLOMIDE_LOVO,5-FU,TEMOZOLOMIDE,LOVO,-17.9661402898,0,0
732,5-FU_TEMOZOLOMIDE_MDAMB436,5-FU,TEMOZOLOMIDE,MDAMB436,7.5465251368,0,0
733,5-FU_TEMOZOLOMIDE_MSTO,5-FU,TEMOZOLOMIDE,MSTO,-8.4523180318,0,0
734,5-FU_TEMOZOLOMIDE_NCIH1650,5-FU,TEMOZOLOMIDE,NCIH1650,-16.1361150349,0,0
735,5-FU_TEMOZOLOMIDE_NCIH2122,5-FU,TEMOZOLOMIDE,NCIH2122,-4.9764338356,0,0
736,5-FU_TEMOZOLOMIDE_NCIH23,5-FU,TEMOZOLOMIDE,NCIH23,-22.4185818942,0,0
737,5-FU_TEMOZOLOMIDE_NCIH460,5-FU,TEMOZOLOMIDE,NCIH460,-23.4110538092,0,0
738,5-FU_TEMOZOLOMIDE_NCIH520,5-FU,TEMOZOLOMIDE,NCIH520,2.0155138901,0,0
739,5-FU_TEMOZOLOMIDE_OCUBM,5-FU,TEMOZOLOMIDE,OCUBM,-15.1214011523,0,0
740,5-FU_TEMOZOLOMIDE_OV90,5-FU,TEMOZOLOMIDE,OV90,-8.7345776972,0,0
741,5-FU_TEMOZOLOMIDE_OVCAR3,5-FU,TEMOZOLOMIDE,OVCAR3,4.2532574153,0,0
742,5-FU_TEMOZOLOMIDE_PA1,5-FU,TEMOZOLOMIDE,PA1,5.8859268402,0,0
743,5-FU_TEMOZOLOMIDE_RKO,5-FU,TEMOZOLOMIDE,RKO,-9.3234303757,0,0
744,5-FU_TEMOZOLOMIDE_RPMI7951,5-FU,TEMOZOLOMIDE,RPMI7951,0.4705453494,0,0
745,5-FU_TEMOZOLOMIDE_SKMEL30,5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657770968,0,0
746,5-FU_TEMOZOLOMIDE_SKMES1,5-FU,TEMOZOLOMIDE,SKMES1,5.0475400042,0,0
747,5-FU_TEMOZOLOMIDE_SKOV3,5-FU,TEMOZOLOMIDE,SKOV3,-4.0214911175,0,0
748,5-FU_TEMOZOLOMIDE_SW620,5-FU,TEMOZOLOMIDE,SW620,4.8401732759,0,0
749,5-FU_TEMOZOLOMIDE_SW837,5-FU,TEMOZOLOMIDE,SW837,-44.6178967978,0,0
750,5-FU_TEMOZOLOMIDE_T47D,5-FU,TEMOZOLOMIDE,T47D,-31.4891658645,0,0
751,5-FU_TEMOZOLOMIDE_UACC62,5-FU,TEMOZOLOMIDE,UACC62,-11.9686244337,0,0
752,5-FU_TEMOZOLOMIDE_UWB1289BRCA1,5-FU,TEMOZOLOMIDE,UWB1289BRCA1,15.8367524097,0,0
753,5-FU_TEMOZOLOMIDE_UWB1289,5-FU,TEMOZOLOMIDE,UWB1289,17.2143034977,0,0
754,5-FU_TEMOZOLOMIDE_VCAP,5-FU,TEMOZOLOMIDE,VCAP,-2.7295163788,0,0
755,5-FU_TEMOZOLOMIDE_ZR751,5-FU,TEMOZOLOMIDE,ZR751,-51.9886204389,0,0
1029,ABT-888_SN-38_A2058,ABT-888,SN-38,A2058,37.1975524441,0,1
1030,ABT-888_SN-38_A2780,ABT-888,SN-38,A2780,27.4431625577,0,0
1031,ABT-888_SN-38_A375,ABT-888,SN-38,A375,29.4591595834,0,0
1032,ABT-888_SN-38_A427,ABT-888,SN-38,A427,9.8564960698,0,0
1033,ABT-888_SN-38_CAOV3,ABT-888,SN-38,CAOV3,41.8226136291,0,1
1034,ABT-888_SN-38_COLO320DM,ABT-888,SN-38,COLO320DM,8.3410749814,0,0
1035,ABT-888_SN-38_DLD1,ABT-888,SN-38,DLD1,8.2033451616,0,0
1036,ABT-888_SN-38_EFM192B,ABT-888,SN-38,EFM192B,30.1497796443,0,1
1037,ABT-888_SN-38_ES2,ABT-888,SN-38,ES2,4.0988107752,0,0
1038,ABT-888_SN-38_HCT116,ABT-888,SN-38,HCT116,23.4259149096,0,0
1039,ABT-888_SN-38_HT144,ABT-888,SN-38,HT144,8.1454557502,0,0
1040,ABT-888_SN-38_HT29,ABT-888,SN-38,HT29,9.5417494003,0,0
1041,ABT-888_SN-38_KPL1,ABT-888,SN-38,KPL1,8.5520684163,0,0
1042,ABT-888_SN-38_LNCAP,ABT-888,SN-38,LNCAP,28.6889018794,0,0
1043,ABT-888_SN-38_LOVO,ABT-888,SN-38,LOVO,-6.5826236766,0,0
1044,ABT-888_SN-38_MDAMB436,ABT-888,SN-38,MDAMB436,18.2214474966,0,0
1045,ABT-888_SN-38_MSTO,ABT-888,SN-38,MSTO,21.4679427844,0,0
1046,ABT-888_SN-38_NCIH1650,ABT-888,SN-38,NCIH1650,4.1880745451,0,0
1047,ABT-888_SN-38_NCIH2122,ABT-888,SN-38,NCIH2122,21.3904458112,0,0
1048,ABT-888_SN-38_NCIH23,ABT-888,SN-38,NCIH23,16.483928435,0,0
1049,ABT-888_SN-38_NCIH460,ABT-888,SN-38,NCIH460,22.6030362318,0,0
1050,ABT-888_SN-38_NCIH520,ABT-888,SN-38,NCIH520,12.9290388108,0,0
1051,ABT-888_SN-38_OCUBM,ABT-888,SN-38,OCUBM,33.429001635,0,1
1052,ABT-888_SN-38_OV90,ABT-888,SN-38,OV90,19.5945199445,0,0
1053,ABT-888_SN-38_OVCAR3,ABT-888,SN-38,OVCAR3,33.0138277611,0,1
1054,ABT-888_SN-38_PA1,ABT-888,SN-38,PA1,31.1667043213,0,1
1055,ABT-888_SN-38_RKO,ABT-888,SN-38,RKO,30.5324902581,0,1
1056,ABT-888_SN-38_RPMI7951,ABT-888,SN-38,RPMI7951,23.8706315741,0,0
1057,ABT-888_SN-38_SKMEL30,ABT-888,SN-38,SKMEL30,29.6505239487,0,0
1058,ABT-888_SN-38_SKMES1,ABT-888,SN-38,SKMES1,20.0867520559,0,0
1059,ABT-888_SN-38_SKOV3,ABT-888,SN-38,SKOV3,6.2637462172,0,0
1060,ABT-888_SN-38_SW620,ABT-888,SN-38,SW620,17.885222403,0,0
1061,ABT-888_SN-38_SW837,ABT-888,SN-38,SW837,7.0443155012,0,0
1062,ABT-888_SN-38_T47D,ABT-888,SN-38,T47D,39.8323117461,0,1
1063,ABT-888_SN-38_UACC62,ABT-888,SN-38,UACC62,24.9654495564,0,0
1064,ABT-888_SN-38_UWB1289BRCA1,ABT-888,SN-38,UWB1289BRCA1,5.9695836274,0,0
1065,ABT-888_SN-38_UWB1289,ABT-888,SN-38,UWB1289,-1.5995614295,0,0
1066,ABT-888_SN-38_VCAP,ABT-888,SN-38,VCAP,-8.5322920587,0,0
1067,ABT-888_SN-38_ZR751,ABT-888,SN-38,ZR751,-12.2436489623,0,0
1332,AZD1775_DINACICLIB_A2058,AZD1775,DINACICLIB,A2058,-12.3658597754,0,0
1333,AZD1775_DINACICLIB_A2780,AZD1775,DINACICLIB,A2780,-4.9413894555,0,0
1334,AZD1775_DINACICLIB_A375,AZD1775,DINACICLIB,A375,7.0115549701,0,0
1335,AZD1775_DINACICLIB_A427,AZD1775,DINACICLIB,A427,-11.3738043423,0,0
1336,AZD1775_DINACICLIB_CAOV3,AZD1775,DINACICLIB,CAOV3,-21.7614501444,0,0
1337,AZD1775_DINACICLIB_COLO320DM,AZD1775,DINACICLIB,COLO320DM,-5.7323399788,0,0
1338,AZD1775_DINACICLIB_DLD1,AZD1775,DINACICLIB,DLD1,13.2400623143,0,0
1339,AZD1775_DINACICLIB_EFM192B,AZD1775,DINACICLIB,EFM192B,-8.2281133667,0,0
1340,AZD1775_DINACICLIB_ES2,AZD1775,DINACICLIB,ES2,-6.1918228455,0,0
1341,AZD1775_DINACICLIB_HCT116,AZD1775,DINACICLIB,HCT116,-3.4265435642,0,0
1342,AZD1775_DINACICLIB_HT144,AZD1775,DINACICLIB,HT144,-0.0536854568,0,0
1343,AZD1775_DINACICLIB_HT29,AZD1775,DINACICLIB,HT29,-8.1390242262,0,0
1344,AZD1775_DINACICLIB_KPL1,AZD1775,DINACICLIB,KPL1,-2.5895093806,0,0
1345,AZD1775_DINACICLIB_LNCAP,AZD1775,DINACICLIB,LNCAP,18.8879080191,0,0
1346,AZD1775_DINACICLIB_LOVO,AZD1775,DINACICLIB,LOVO,-15.3534280256,0,0
1347,AZD1775_DINACICLIB_MDAMB436,AZD1775,DINACICLIB,MDAMB436,-0.8694570931,0,0
1348,AZD1775_DINACICLIB_MSTO,AZD1775,DINACICLIB,MSTO,-6.2151696848,0,0
1349,AZD1775_DINACICLIB_NCIH1650,AZD1775,DINACICLIB,NCIH1650,-9.2518733632,0,0
1350,AZD1775_DINACICLIB_NCIH2122,AZD1775,DINACICLIB,NCIH2122,-11.4558726044,0,0
1351,AZD1775_DINACICLIB_NCIH23,AZD1775,DINACICLIB,NCIH23,-24.274172924,0,0
1352,AZD1775_DINACICLIB_NCIH460,AZD1775,DINACICLIB,NCIH460,-3.5452867485,0,0
1353,AZD1775_DINACICLIB_NCIH520,AZD1775,DINACICLIB,NCIH520,-3.3283766835,0,0
1354,AZD1775_DINACICLIB_OCUBM,AZD1775,DINACICLIB,OCUBM,-2.770137242,0,0
1355,AZD1775_DINACICLIB_OV90,AZD1775,DINACICLIB,OV90,-17.3129048664,0,0
1356,AZD1775_DINACICLIB_OVCAR3,AZD1775,DINACICLIB,OVCAR3,-1.9974846374,0,0
1357,AZD1775_DINACICLIB_PA1,AZD1775,DINACICLIB,PA1,-10.0403530053,0,0
1358,AZD1775_DINACICLIB_RKO,AZD1775,DINACICLIB,RKO,0.8952051889,0,0
1359,AZD1775_DINACICLIB_RPMI7951,AZD1775,DINACICLIB,RPMI7951,-6.6001547855,0,0
1360,AZD1775_DINACICLIB_SKMEL30,AZD1775,DINACICLIB,SKMEL30,-9.0382349965,0,0
1361,AZD1775_DINACICLIB_SKMES1,AZD1775,DINACICLIB,SKMES1,-18.1130098767,0,0
1362,AZD1775_DINACICLIB_SKOV3,AZD1775,DINACICLIB,SKOV3,-6.2345474367,0,0
1363,AZD1775_DINACICLIB_SW620,AZD1775,DINACICLIB,SW620,-8.4630393281,0,0
1364,AZD1775_DINACICLIB_SW837,AZD1775,DINACICLIB,SW837,-5.084259188,0,0
1365,AZD1775_DINACICLIB_T47D,AZD1775,DINACICLIB,T47D,-8.9631662327,0,0
1366,AZD1775_DINACICLIB_UACC62,AZD1775,DINACICLIB,UACC62,3.276757735,0,0
1367,AZD1775_DINACICLIB_UWB1289BRCA1,AZD1775,DINACICLIB,UWB1289BRCA1,-10.3275025715,0,0
1368,AZD1775_DINACICLIB_UWB1289,AZD1775,DINACICLIB,UWB1289,40.7301126858,0,1
1369,AZD1775_DINACICLIB_VCAP,AZD1775,DINACICLIB,VCAP,-27.3066655106,0,0
1370,AZD1775_DINACICLIB_ZR751,AZD1775,DINACICLIB,ZR751,-14.9584974742,0,0
1566,AZD1775_MK-5108_A2058,AZD1775,MK-5108,A2058,-9.504263856,0,0
1567,AZD1775_MK-5108_A2780,AZD1775,MK-5108,A2780,3.7804810411,0,0
1568,AZD1775_MK-5108_A375,AZD1775,MK-5108,A375,2.5989300632,0,0
1569,AZD1775_MK-5108_A427,AZD1775,MK-5108,A427,-4.3456427646,0,0
1570,AZD1775_MK-5108_CAOV3,AZD1775,MK-5108,CAOV3,-7.5355260601,0,0
1571,AZD1775_MK-5108_COLO320DM,AZD1775,MK-5108,COLO320DM,4.2382752782,0,0
1572,AZD1775_MK-5108_DLD1,AZD1775,MK-5108,DLD1,3.8427079626,0,0
1573,AZD1775_MK-5108_EFM192B,AZD1775,MK-5108,EFM192B,-0.1661748616,0,0
1574,AZD1775_MK-5108_ES2,AZD1775,MK-5108,ES2,0.9765806006,0,0
1575,AZD1775_MK-5108_HCT116,AZD1775,MK-5108,HCT116,11.0015617068,0,0
1576,AZD1775_MK-5108_HT144,AZD1775,MK-5108,HT144,0.523440619,0,0
1577,AZD1775_MK-5108_HT29,AZD1775,MK-5108,HT29,3.6254994048,0,0
1578,AZD1775_MK-5108_KPL1,AZD1775,MK-5108,KPL1,8.2422738109,0,0
1579,AZD1775_MK-5108_LNCAP,AZD1775,MK-5108,LNCAP,3.5293864947,0,0
1580,AZD1775_MK-5108_LOVO,AZD1775,MK-5108,LOVO,7.1305966365,0,0
1581,AZD1775_MK-5108_MDAMB436,AZD1775,MK-5108,MDAMB436,3.5660410346,0,0
1582,AZD1775_MK-5108_MSTO,AZD1775,MK-5108,MSTO,9.2461391764,0,0
1583,AZD1775_MK-5108_NCIH1650,AZD1775,MK-5108,NCIH1650,11.0245997975,0,0
1584,AZD1775_MK-5108_NCIH2122,AZD1775,MK-5108,NCIH2122,-15.7842728736,0,0
1585,AZD1775_MK-5108_NCIH23,AZD1775,MK-5108,NCIH23,5.0692495836,0,0
1586,AZD1775_MK-5108_NCIH460,AZD1775,MK-5108,NCIH460,-2.6493767118,0,0
1587,AZD1775_MK-5108_NCIH520,AZD1775,MK-5108,NCIH520,4.1726132267,0,0
1588,AZD1775_MK-5108_OCUBM,AZD1775,MK-5108,OCUBM,3.360535204,0,0
1589,AZD1775_MK-5108_OV90,AZD1775,MK-5108,OV90,0.6648818689,0,0
1590,AZD1775_MK-5108_OVCAR3,AZD1775,MK-5108,OVCAR3,6.7932624845,0,0
1591,AZD1775_MK-5108_PA1,AZD1775,MK-5108,PA1,17.9153781915,0,0
1592,AZD1775_MK-5108_RKO,AZD1775,MK-5108,RKO,5.7605997568,0,0
1593,AZD1775_MK-5108_RPMI7951,AZD1775,MK-5108,RPMI7951,-4.4811464434,0,0
1594,AZD1775_MK-5108_SKMEL30,AZD1775,MK-5108,SKMEL30,5.2287434195,0,0
1595,AZD1775_MK-5108_SKMES1,AZD1775,MK-5108,SKMES1,-2.9112185853,0,0
1596,AZD1775_MK-5108_SKOV3,AZD1775,MK-5108,SKOV3,23.4218522218,0,0
1597,AZD1775_MK-5108_SW620,AZD1775,MK-5108,SW620,2.0556982233,0,0
1598,AZD1775_MK-5108_SW837,AZD1775,MK-5108,SW837,8.7696100298,0,0
1599,AZD1775_MK-5108_T47D,AZD1775,MK-5108,T47D,3.2420834611,0,0
1600,AZD1775_MK-5108_UACC62,AZD1775,MK-5108,UACC62,13.3459877909,0,0
1601,AZD1775_MK-5108_UWB1289BRCA1,AZD1775,MK-5108,UWB1289BRCA1,13.1809166058,0,0
1602,AZD1775_MK-5108_UWB1289,AZD1775,MK-5108,UWB1289,65.6475365955,0,1
1603,AZD1775_MK-5108_VCAP,AZD1775,MK-5108,VCAP,-7.1366314124,0,0
1604,AZD1775_MK-5108_ZR751,AZD1775,MK-5108,ZR751,-7.2779572345,0,0
1776,AZD1775_SN-38_A2058,AZD1775,SN-38,A2058,3.0746171886,0,0
1777,AZD1775_SN-38_A2780,AZD1775,SN-38,A2780,0.6751167208,0,0
1778,AZD1775_SN-38_A375,AZD1775,SN-38,A375,8.0208771168,0,0
1779,AZD1775_SN-38_A427,AZD1775,SN-38,A427,0.663149514,0,0
1780,AZD1775_SN-38_CAOV3,AZD1775,SN-38,CAOV3,-4.1036019467,0,0
1781,AZD1775_SN-38_COLO320DM,AZD1775,SN-38,COLO320DM,3.0467332432,0,0
